dishname,price,shopid
红烧肥肠面/粉,15,203
红烧鸡块面/粉,13,203
红烧鸡块面/粉,14,204
红烧鸡腿,3,501
红烧鸡腿面/粉,14,204
红糖三角糕,2.5,201
纯瘦肉夹馍,11,107
纯鲜肉水饺,13,205
经典培根披萨薯条,24,401
经典杂酱拌面/粉,11,604
维维椰奶,8,602
绿豆芽炒肉丝,11,303
罗宋牛肉,16.5,310
罗宋牛肉,14,608
罗宋牛肉拼鸡扒,14,608
羊杂面,13,403
羊汤面,8,403
羊肉水饺,23,205
美味年糕,10,204
老上海灌汤生煎,1.5,201
老上海灌汤锅贴,1.5,201
老坛酸菜牛肉面（刀削面）,12,103
老坛酸菜猪肚鸡,17.6,308
老坛酸菜米线,10,105
老干妈小炒肉,8.8,301
老干妈肉丝炒饭（面/粉）,12,109
肉包,1,101
肉包,0.7,201
肉夹馍,6,101
肉夹馍,5,201
肉末茄子,13,108
肉末茄子,10.89,310
肉末茄子,11,608
肉末酸豆角炒饭/面/粉,10,207
肉松蛋糕,4.5,201
肉松面包,4.5,201
肉沫茄子,4.5,601
肉沫茄子煲仔饭,12.1,311
肉沫豆腐,2,501
肉沫鸡蛋肠粉,13,605
肉臊拌面,11,403
肉臊汤面,10,403
肉臊酸菜拌面,11,403
肉臊酸菜汤面,10,403
肉臊酸豆角拌面,11,403
肉臊酸豆鸬汤西,10,403
肉酱小锅泡面,13,605
肉酱拌面/粉,14,204
肉酱油泼面,16.5,302
肥牛,7.7,304
肥牛金针菇炒饭/面/粉,14,207
肥牛铁板意面/米饭,19,603
肥牛锅仔+米饭,18.7,304
肥瘦肉夹馍,9,107
胡椒烤肉饭,15.68,306
胡萝卜丝饼,2,502
胡萝卜鸡蛋水饺,11,205
脆皮鸡炒饭（面/粉）,14,109
脆皮鸡腿,10,602
脆皮鸡饭,13.2,310
芝士年糕炸鸡套餐,23.9,407
芝麻炝饼,2,502
芝麻甜饼,4,106
花卷,1,201
花生稀饭,5,107
花菜炒肉丝,4.4,102
芹菜肉丝,3,501
芹菜肉水饺,13,205
芹菜香干,2,501
茄子炒肉,5.5,102
茄汁乌冬面,11,302
茄汁汤面/米线,7.7,302
茄汁海鲜面/米线,14.3,302
茄汁牛肉面,15,104
茄汁酸辣面,8.8,302
茄汁锅包肉,6.6,102
茄汁面,8,104
茴香肉水饺,11,205
茶叶蛋,1.5,101
茶叶蛋,1.5,201
茶叶蛋,1.5,502
荠菜大馄炖,12,205
荠菜肉水饺,13,205
荠菜鲜肉大馄饨,10,105
荤素同价（元/3两）,9.9,609
荤素同价（元/50克）,3.3,406
荤菜类,3,210
荤菜（元/50克）,3,111
荤菜（元/50克）,3,112
药椒银芽,1,501
荷包蛋,2.2,304
莲藕肉水饺,13,205
莴笋肉片,4,601
莴笋鸡片,3.5,501
菌菇铁板饭意面/米饭,12,603
菌菇鸡汤,6.6,301
菌菇鸡汤面/粉,13,604
菜包,1,101
菜包,0.6,201
菠萝锅包肉,8.8,301
萝卜炖羊肉,10,501
萝卜肉水饺,11,205
葡式蛋挞,3.5,407
葱味瘦肉饼,7,106
葱油拌面,8,103
葱油拌面,8,104
葱油拌面,9,204
葱油拌面,6.6,302
葱油拌面/粉,7,604
葱油白切鸡,6.6,102
葱油莴笋,2,501
葱油酥饼,3,101
葱油酥饼,2.5,201
葱油饼,2,502
葱烤鲫鱼,5,501
葱爆牛肉,7,501
葱香味烧饼,5,106
葱香烤鸡+老北京烤鸭,20,404
葱香烤鸡饭,15,404
蒜蓉小青菜,8.8,303
蒜蓉青菜,6,202
蒜香烤肉饭,15.68,306
蒸粉皮,8,605
蒸蛋,3,601
蔬香孜然鸡茶泡饭,16,607
薯条炸鸡套餐,23.9,407
藤椒猪肚鸡,17.6,308
藤椒鸡,11,301
藤椒鸡,26.9,606
藤椒鸡捞面/米线,16.5,302
藤椒鸡肉水饺,15,205
虎皮卷,3.5,101
虎皮卷,3.5,201
虾仁炒饭/面/粉,15,207
虾肉丝炒饭（面/粉）,12,109
蚝油牛柳炒饭/面/粉,15,207
蚝油肉片,15,108
蚝油菌菇,4,501
蛋炒饭,7,207
蛋炒饭（面/粉）,7,109
蜜汁手扒鸡,28,602
蜜汁烤肉饭,15.68,306
蜜汁脆皮鸡,16.5,308
蜜汁鸡腿,7,606
螺蛳粉,12,605
蟹黄肉酱拌面/粉,14,604
蟹黄肉酱面,17.6,302
西冷牛排,38,401
西红柿炒蛋,8,202
西红柿炒蛋,3.5,601
西红柿炒饭（面/粉）,9,109
西红柿炒鸡蛋,12,108
西红柿鸡蛋面（刀削面）,10,103
西西里牛肉咖喱饭,24,401
豆沙包,1,502
豆沙酥饼,3,201
豆浆,3,101
豆浆,1.5,201
豆浆成品,2,502
豆腐皮,2.2,304
豆花酸菜鱼,19,402
豆角土豆条,4,601
豌杂汤粉,13,605
豌豆肉臊子汤面/粉,12,604
超级鸡腿堡,12,602
辣子鸡,17.6,309
辣子鸡丁,6.6,102
辣子鸡丁米线,12,105
辣子鸡丁面,12,104
辣子鸡茶泡饭,16,607
辣椒火腿肠炒蛋,6.6,102
辣椒火腿饼,3.5,201
辣椒炒猪脆骨,6.6,102
辣肉拌面,14,403
辣肉面,13,403
迷你手工小馄炖,10,205
酱肘饭,17,208
酱香板烧堡,17,602
酱香猪手面/米线,19.8,302
酱香米线,10,105
酱香饼,2.5,101
酱香饼,2.5,201
酱香鸭腿,6.6,102
酱骨饭,15,208
酸小七干锅土豆片,7,402
酸小七干锅烤肉,10,402
酸小七干锅香肉,13,402
酸汤火锅米线,11,605
酸汤面,8,104
酸菜烧排骨,16,108
酸菜牛肉拌面/粉,16,604
酸菜牛肉汤面/粉,16,604
酸菜牛肉面,15,104
酸菜猪肚鸡,17.6,308
酸菜肉水饺,13,205
酸菜肉片,11,301
酸菜肉片+米饭,17.6,305
酸菜肉米粉,11,304
酸菜鱼水饺,18,205
酸菜鱼片+米饭,17.6,305
酸菜鱼粉+米饭,17.6,305
酸菜鱼面/粉,15,204
酸豆角肉末,14.3,303
酸辣土豆丝,8.8,303
酸辣土豆粉,15.4,305
酸辣猪肚鸡,17.6,308
酸辣笋尖面/米线,13.2,302
酸辣粉,10,104
酸辣钵钵鸡,16.5,308
酸辣鸡杂,15,202
醋椒木耳,4.4,102
里脊,5.5,304
里脊炒饭/面/粉,12,207
里脊肉锅仔+米饭,17.6,304
重庆酸辣粉,12,605
金汤酸菜鱼,18,402
金汤鱼片火锅米线,16,605
金牌五花肉饭,18,110
金牌护心肉饭,18,110
金牌肘子饭,20,110
金牌脆骨饭,16,110
金针菇,2.2,304
金针菇水饺,11,205
金针菇炒饭（面/粉）,9,109
锁骨串（3串）,15,606
锅包肉,6,601
锅贴,1.5,101
阳春面,8,104
雪花芝士球*6,19.9,407
雪花芝士翅根（6个）,19.9,407
雪菜肉丝汤面/粉,9,604
雪菜肉丝炒饭（面/粉）,12,109
雪菜肉丝面/粉,12,203
雪菜肉丝面/粉,7,204
雪菜肉丝面（刀削面）,10,103
霞迷饺,2.75,304
霸王全鸡腿,13.9,407
霸王全鸡腿+原味鸡块+热辣香骨鸡*2+可乐,27.9,407
霸王鸡条,6,407
青椒土豆丝,2,501
青椒炒菜,9,202
青椒炒鸡蛋,13.2,303
青椒肉丝,14,108
青椒肉丝炒饭（面/粉）,9,109
青椒肉丝面（刀削面）,10,103
青椒肉水饺,13,205
青椒鸡蛋炸酱雨,10,403
青花椒猪肚鸡,17.6,308
青花椒钵钵鸡,16.5,308
青菜,2.5,601
青菜豆腐汤,6,202
青菜面,6,104
青菜香菇水饺,11,205
韩式拌面/粉,8,604
韩式炸鸡大份(350g),23.9,407
韩式炸鸡小份(200g),14.9,407
韭菜炒蛋,3,501
韭菜肉水饺,13,205
韭菜饼,2,502
韭菜鸡蛋水饺,11,205
韭黄炒蛋,4,601
风味手撕酥脖,8,602
馒头,0.5,201
馒头,0.5,502
香干回锅肉,16,202
香干回锅肉,17.6,303
香干肉丝,13,202
香炸鸡腿,4.5,501
香烤鸡肉芝士焗饭,18,401
香肠炒饭/面/粉,10,207
香芋地瓜丸,10,401
香芋派/红豆派,7,407
香芋紫薯小食盒,8,602
香菇大馄炖,12,205
香菇滑鸡煲仔饭,16.5,311
香菇烧鸡面（刀削面）,12,103
香菇肉丝拌面/粉,11,604
香菇肉丝汤面/粉,11,604
香菇肉丝炒饭（面/粉）,10,109
香菇肉丸面/粉,14,204
香菇肉水饺,13,205
香菇肉沫面/粉,15,204
香菇肉酱面/米线,9.9,302
香菇青菜,2,501
香菇面筋面/粉,12,204
香菇鲜肉大馄饨,10,105
香菇鲜肉水饺,10,105
香菇鸡丝面/粉,12,203
香菇鸡块米线,12,105
香菇鸡块面,12,104
香辣拌面,9,204
香辣排骨,17.6,303
香辣翅根,4,501
香辣翅根*2,7,407
香辣翅根*2+原味鸡块+霸王鸡条*3+可乐,21.9,407
香辣脆皮鸡,16.5,308
香辣脆脆鸡,13.9,407
香辣虾,7,501
香辣香肉拌饭,14,405
香辣鸡丝面/粉,14,204
香辣鸡块锅仔+米饭,16.5,304
香辣鸡块面/粉,14,204
香辣鸡翅,9,602
香辣鸡肉卷,8,407
香辣鸡腿堡,9,407
香辣鸡腿堡,12,602
香辣鸡腿堡+原味鸡块+可乐,16.9,407
香辣鸡腿堡+可乐,11.9,407
香辣鸡腿堡+热辣香骨鸡*2+劲爆鸡米花+可乐,23.9,407
香辣鸡腿堡+热辣香骨鸡*2+可乐,18.9,407
香辣鸡腿堡+霸王鸡条*3,12.9,407
香辣鸡腿堡+香辣炸鸡卷(二选二),15.9,407
香辣鸡腿堡+香辣翅根*2+可乐,18.9,407
香辣鸡腿堡+黄金薯条+原味鸡块+可乐,22.9,407
香辣鸡腿堡+黄金薯条+可乐,17.9,407
香辣鸭,14,202
香酥鸡茶泡饭,15,607
马蹄猪肉水饺,15,205
鱼豆腐炸鸡套餐,21.9,407
鱼豆腐（150g）,9.9,407
鱼香拌面,9,204
鱼香百叶包,6.6,301
鱼香肉丝,16.5,303
鱼香肉丝,16.5,309
鱼香肉丝拌面/粉,12,604
鱼香肉丝汤面/粉,12,604
鱼香茄子,4.95,301
鲍汁鸡茶泡饭,14,607
鲜肉云吞,10,105
鲜肉大馄炖,12,205
鲜肉小笼,6,201
鲜肉小馄炖,11,205
鲜肉小馄饨（大份）,9,105
鲜肉小馄饨（小份）,6,105
鸡丁拌面/粉,14,204
鸡丝原汤热米皮,15,107
鸡丝拌粉,13,605
鸡丝拌面/粉,14,204
鸡丝面,10,203
鸡丝麻酱面,9.9,302
鸡扒拼茄子,13,608
鸡排牛丼双拼饭,22,307
鸡排铁板意面/米饭,15,603
鸡柳牛丼双拼饭,22,307
鸡汤小馄炖,6,203
鸡汤面/粉,6,203
鸡翅牛丼双拼饭,22,307
鸡腿面,13,104
鸡蛋拌面/粉,8,604
鸡蛋汤面/粉,8,604
鸡蛋炸酱雨,9,403
鸡蛋牛丼饭,20.8,307
鸡蛋肉饼,3.5,201
鸡蛋肠粉,8,605
鸡蛋面（刀削面）,9,103
鸡蛋饼,2,101
鸡蛋饼,2,201
鸡蛋饼,2,502
麻婆豆腐,11,108
麻婆豆腐,8,202
麻球,2,201
麻花,3,502
麻辣凉拌面,8,403
麻辣小面/粉,8,203
麻辣小龙虾饭/面,18,404
"麻辣拌 荤菜类（元/50g）",3,610
"麻辣拌 豆制品类（元/50g）",1.5,610
"麻辣拌 青菜类（元/50g）",1.5,610
麻辣拌面,9,204
麻辣拌面/粉,8,604
麻辣烤肉饭,15.68,306
"麻辣烫（荤素同价）（ 元/50g）",2,610
